,lon,lat,z
431,-48.247868,-0.3144485,8.565078
432,-48.24806,-0.314415,8.568317
433,-48.248196,-0.3143715,8.571458
434,-48.248333,-0.31430897,8.574796
435,-48.24847,-0.3142311,8.578261
436,-48.248608,-0.31414133,8.581785
437,-48.24874,-0.3140579,8.584969
438,-48.24881,-0.31399274,8.587587
439,-48.24888,-0.3139425,8.589762
440,-48.2489,-0.31390524,8.59155
441,-48.2489,-0.31387246,8.593285
442,-48.248943,-0.31383824,8.595189
443,-48.249012,-0.31380424,8.597158
444,-48.24908,-0.31377092,8.599159
445,-48.24915,-0.3137382,8.600968
446,-48.24916,-0.31370476,8.6024475
447,-48.24916,-0.31366912,8.603692
448,-48.24916,-0.31363115,8.604705
449,-48.24916,-0.31359193,8.605624
450,-48.24916,-0.31355223,8.606592
451,-48.24916,-0.31351218,8.607609
452,-48.24916,-0.31347185,8.608674
453,-48.249165,-0.31343344,8.609787
454,-48.249233,-0.31340083,8.610893
455,-48.249302,-0.31337482,8.611944
456,-49.709812,0.87820315,13.328463
